speakername,party
ฐาปกรณ์ กุลเจริญ,พรรคพลังประชารัฐ
ไพลิน เทียนสุวรรณ,พรรคพลังประชารัฐ
จอมขวัญ กลับบ้านเกาะ,พรรคพลังประชารัฐ
กัลยา รุ่งวิจิตรชัย,พรรคพลังประชารัฐ
สมบัติ อำนาคะ,พรรคพลังประชารัฐ
โชติวุฒิ ธนาคมานุสรณ์,พรรคพลังประชารัฐ
พรรณสิริ กุลนาถศิริ,พรรคพลังประชารัฐ
ชูศักดิ์ คีรีมาศทอง,พรรคพลังประชารัฐ
ร้อยเอก ธรรมนัส พรหมเผ่า,พรรคพลังประชารัฐ
จีรเดช ศรีวิราช,พรรคพลังประชารัฐ
ปัญญา จีนาคำ,พรรคพลังประชารัฐ
สมศักดิ์ คุณเงิน,พรรคพลังประชารัฐ
เชิงชาย ชาลีรินทร์,พรรคพลังประชารัฐ
สัมฤทธิ์ แทนทรัพย์,พรรคพลังประชารัฐ
เกษม ศุภรานนท์,พรรคพลังประชารัฐ
ทวิรัฐ รัตนเศรษฐ,พรรคพลังประชารัฐ
อธิรัฐ รัตนเศรษฐ,พรรคพลังประชารัฐ
ทัศนียา รัตนเศรษฐ,พรรคพลังประชารัฐ
ทัศนาพร เกษเมธีการุณ,พรรคพลังประชารัฐ
นิพันธ์ ศิริธร,พรรคพลังประชารัฐ
รงค์ บุญสวยขวัญ,พรรคพลังประชารัฐ
สัณหพจน์ สุขศรีเมือง,พรรคพลังประชารัฐ
อาญาสิทธิ์ ศรีสุวรรณ,พรรคพลังประชารัฐ
สายัณห์ ยุติธรรม,พรรคพลังประชารัฐ
วัชระ ยาวอหะซัน,พรรคพลังประชารัฐ
สัมพันธ์ มะยูโซ๊ะ,พรรคพลังประชารัฐ
สุทา ประทีป ณ ถลาง,พรรคพลังประชารัฐ
นัทธี ถิ่นสาคู,พรรคพลังประชารัฐ
อาดิลัน อาลีอิสเฮาะ,พรรคพลังประชารัฐ
วันชัย ปริญญาศิริ,พรรคพลังประชารัฐ
ศาสตรา ศรีปาน,พรรคพลังประชารัฐ
พยม พรหมเพชร,พรรคพลังประชารัฐ
ร้อยตำรวจเอก อรุณ สวัสดี,พรรคพลังประชารัฐ
พันตำรวจโท ฐนภัทร กิตติวงศา,พรรคพลังประชารัฐ
ชัยวัฒน์ เป้าเปี่ยมทรัพย์,พรรคพลังประชารัฐ
สุชาติ ตันเจริญ,พรรคพลังประชารัฐ
สุชาติ ชมกลิ่น,พรรคพลังประชารัฐ
ร้อยเอก จองชัย วงศ์ทรายทอง,พรรคพลังประชารัฐ
รณเทพ อนุวัฒน์,พรรคพลังประชารัฐ
สรวุฒิ เนื่องจำนงค์,พรรคพลังประชารัฐ
สมพงษ์ โสภณ,พรรคพลังประชารัฐ
ฐานิสร์ เทียนทอง,พรรคพลังประชารัฐ
ตรีนุช เทียนทอง,พรรคพลังประชารัฐ
สุรศักดิ์ ชิงนวรรณ์,พรรคพลังประชารัฐ
พลเอก สมชาย วิษณุวงศ์,พรรคพลังประชารัฐ
สมเกียรติ วอนเพียร,พรรคพลังประชารัฐ
