"names","parties"
"นายภัณฑิล  น่วมเจิม","พรรคก้าวไกล"
"นายภัทรพงศ์  ภัทรประสิทธิ์","พรรคภูมิใจไทย"
"นายภัทรพงษ์  ลีลาภัทร์","พรรคก้าวไกล"
"นางสาวภัสริน  รามวงศ์","พรรคก้าวไกล"
"นายภาคภูมิ  บูลย์ประมุข","พรรคพลังประชารัฐ"
"นายภาควัต  ศรีสุรพล","พรรคเพื่อไทย"
"นายภาณุ  พรวัฒนา","พรรคเพื่อไทย"
"นายภูมินทร์  ลีธีระประเสริฐ","พรรคเพื่อไทย"
"นายภูมิพัฒน์  พชรทรัพย์","พรรคเพื่อไทย"
"นายภูริวรรธก์  ใจสำราญ","พรรคก้าวไกล"
"นายมณเฑียร  สงฆ์ประชา","พรรคภูมิใจไทย"
"นางมนพร  เจริญศรี","พรรคเพื่อไทย"
"นายมนัสนันท์  หลีนวรัตน์","พรรคเพื่อไทย"
"นางสาวมัลลิกา  จิระพันธุ์วาณิช","พรรคภูมิใจไทย"
"นายมานพ  คีรีภูวดล","พรรคก้าวไกล"
"นายมานพ  ศรีผึ้ง","พรรคภูมิใจไทย"
"นางมุกดาวรรณ  เลื่องสีนิล","พรรคภูมิใจไทย"
"นายยศวัฒน์  มาไพศาลสิน","พรรคภูมิใจไทย"
"นายยอดชาย  พึ่งพร","พรรคก้าวไกล"
"ว่าที่ร้อยโท ยุทธการ  รัตนมาศ","พรรคประชาธิปัตย์"
"นายยูนัยดี  วาบา","พรรคประชาธิปัตย์"
"นายรชตะ  ด่านกุล","พรรคเพื่อไทย"
"นางสาวรภัสสรณ์  นิยะโมสถ","พรรคก้าวไกล"
"นายร่มธรรม  ขำนุรักษ์","พรรคประชาธิปัตย์"
"นายรวี  เล็กอุทัย","พรรคเพื่อไทย"
"นายรอมฎอน  ปันจอร์","พรรคก้าวไกล"
"นางสาวรักชนก  ศรีนอก","พรรคก้าวไกล"
"นายรังสรรค์  มณีรัตน์","พรรคเพื่อไทย"
"นายรังสิกร  ทิมาตฤกะ","พรรคภูมิใจไทย"
"นายรังสิมันต์  โรม","พรรคก้าวไกล"
"นายรัชต์พงศ์  สร้อยสุวรรณ","พรรคก้าวไกล"
"นางสาวรัชนก  สุขประเสริฐ","พรรคก้าวไกล"
"นางรัชนี  พลซื่อ","พรรคพลังประชารัฐ"
"นายรัฐ  คลังแสง","พรรคเพื่อไทย"
"นายราชิต  สุดพุ่ม","พรรคประชาธิปัตย์"
"นางรำพูล  ตันติวณิชชานนท์","พรรคไทยสร้างไทย"
"นายรุ่งโรจน์  ทองศรี","พรรคภูมิใจไทย"
"นายเรืองวิทย์  คูณวัฒนาพงษ์","พรรคภูมิใจไทย"
"นายฤกษ์  อยู่ดี","พรรคภูมิใจไทย"
"นายลัทธชัย  โชคชัยวัฒนากร","พรรคภูมิใจไทย"
"นายล้ำเลิศ  พัวพัฒนโชติ","พรรคภูมิใจไทย"
"นางสาวลิณธิภรณ์  วริณวัชรโรจน์","พรรคเพื่อไทย"
"นายเลาฟั้ง  บัณฑิตเทอดสกุล","พรรคก้าวไกล"
"นายเลิศศักดิ์  พัฒนชัยกุล","พรรคเพื่อไทย"
"นางสาววชิราภรณ์  กาญจนะ","พรรครวมไทยสร้างชาติ"
"นายวรโชติ  สุคนธ์ขจร","พรรคพลังประชารัฐ"
"นายวรท  ศิริรักษ์","พรรคก้าวไกล"
"นายวรภพ  วิริยะโรจน์","พรรคก้าวไกล"
"นายวรรณรัตน์  ชาญนุกูล","พรรคชาติพัฒนากล้า"
"นางสาววรรณวิภา  ไม้สน","พรรคก้าวไกล"
"นางสาววรรณิดา  นพสิทธิ์","พรรคก้าวไกล"
"นายวรวงศ์  วรปัญญา","พรรคเพื่อไทย"
"นายวรวัจน์  เอื้ออภิญญกุล","พรรคเพื่อไทย"
"ผู้ช่วยศาสตราจารย์วรวิทย์  บารู","พรรคประชาชาติ"
"นายวรศิษฎ์  เลียงประสิทธิ์","พรรคภูมิใจไทย"
"นายวรสิทธิ์  กัลป์ตินันท์","พรรคเพื่อไทย"
"นายวรายุทธ  ทองสุข","พรรคก้าวไกล"
"นายวราวุธ  ศิลปอาชา","พรรคชาติไทยพัฒนา"
"นายวัชรพงศ์  คูวิจิตรสุวรรณ","พรรคภูมิใจไทย"
"นายวัชระ  ยาวอหะซัน","พรรครวมไทยสร้างชาติ"
"นายวัชระพล  ขาวขำ","พรรคเพื่อไทย"
"นายวันนิวัติ  สมบูรณ์","พรรคเพื่อไทย"
"นางวันเพ็ญ  พร้อมพัฒน์","พรรคพลังประชารัฐ"
"นายวันมูหะมัดนอร์  มะทา","พรรคประชาชาติ"
"นายวาโย  อัศวรุ่งเรือง","พรรคก้าวไกล"
"นายวารุจ  ศิริวัฒน์","พรรคเพื่อไทย"
"นายวิชัย  สุดสวาสดิ์","พรรครวมไทยสร้างชาติ"
"นายวิทยา  แก้วภราดัย","พรรครวมไทยสร้างชาติ"
"นายวิทวัส  ติชะวาณิชย์","พรรคก้าวไกล"
"นายวิทวิสิทธิ์  ปันสวนปลูก","พรรคก้าวไกล"
"นายวินัย  ภัทรประสิทธิ์","พรรคภูมิใจไทย"
"นางสาววิภาณี  ภูคำวงศ์","พรรคเพื่อไทย"
"นายวิรัช  พิมพะนิตย์","พรรคเพื่อไทย"
"นายวิริยะ  ทองผา","พรรคพลังประชารัฐ"
"พลตำรวจโท วิโรจน์  เปาอินทร์","พรรคเพื่อไทย"
"นายวิโรจน์  ลักขณาอดิศร","พรรคก้าวไกล"
"นางสาววิลดา  อินฉัตร","พรรคเพื่อไทย"
"นางสาววิสาระดี  เตชะธีราวัฒน์","พรรคเพื่อไทย"
"นายวิสุทธิ์  ไชยณรุณ","พรรคเพื่อไทย"
"นายวีรนันท์  ฮวดศรี","พรรคก้าวไกล"
"นายวีรภัทร  คันธะ","พรรคก้าวไกล"
"นายวีรวุธ  รักเที่ยง","พรรคก้าวไกล"
"นายวีระพล  จิตสัมฤทธิ์","พรรคเพื่อไทย"
"นายวุฒินันท์  บุญชู","พรรคก้าวไกล"
"นายวุฒิพงศ์  ทองเหลา","พรรคชาติพัฒนากล้า"
"นายวุฒิพงษ์  นามบุตร","พรรคประชาธิปัตย์"
"นางสาวศนิวาร  บัวบาน","พรรคก้าวไกล"
"นายศรัณย์  ทิมสุวรรณ","พรรคเพื่อไทย"
"นางสาวศรีโสภา  โกฏคำลือ","พรรคเพื่อไทย"
"นางสาวศศินันท์  ธรรมนิฐินันท์","พรรคก้าวไกล"
"นายศักดิ์  ซารัมย์","พรรคภูมิใจไทย"
"นายศักดิ์ชาย  ตันเจริญ","พรรคเพื่อไทย"
"นายศักดิ์ดา  วิเชียรศิลป์","พรรคเพื่อไทย"
"นายศักดินัย  นุ่มหนู","พรรคก้าวไกล"
"นางนันทนา  สงฆ์ประชา","พรรคภูมิใจไทย"
"นายศักดิ์สิทธิ์  ขาวทอง","พรรคประชาธิปัตย์"
"นายศาสตรา  ศรีปาน","พรรครวมไทยสร้างชาติ"
"นายศิรสิทธิ์  เลิศด้วยลาภ","พรรคเพื่อไทย"
"นายศิรสิทธิ์  สงนุ้ย","พรรคก้าวไกล"
"นางสาวศิริกัญญา  ตันสกุล","พรรคก้าวไกล"
"นายศิริโรจน์  ธนิกกุล","พรรคก้าวไกล"
"นายศิริวัฒน์  ขจรประศาสน์","พรรคภูมิใจไทย"
"นายศิวะ  พงศ์ธีระดุลย์","พรรคเพื่อไทย"
"นายศุทธสิทธิ์  พจน์ฐศักดิ์","พรรคก้าวไกล"
"นายศุภโชค  ศรีสุขจร","พรรคชาติไทยพัฒนา"
"นายศุภโชติ  ไชยสัจ","พรรคก้าวไกล"
"นายศุภณัฐ  มีนชัยนันท์","พรรคก้าวไกล"
"นายศุภปกรณ์  กิตยาธิคุณ","พรรคก้าวไกล"
